Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
B-150,By Kilian - Angel's Share,Kadın,,,400.0,175,,"Tarçın, Kakao, Nane","Vanilya, Süt, Kahve","Sedir, Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Yoğun,"tatlı, sıcak, baştan çıkarıcı","Angel's Share, tatlı ve sıcak gourmand notalarıyla kadınlar için baştan çıkarıcı ve sofistike bir parfümdür."
B-151,By Kilian - Back To Black,Unisex,,,90.0,115,,"Bal, Arı Poleni, Nane","Tütün, Tütün Yaprağı, Kahve","Vanilya, Amber, Paçuli","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"gizemli, yoğun, sofistike","Back To Black, bal ve tütün notalarıyla zenginleşmiş, unisex için güçlü ve gizemli bir koku."
B-152,By Kilian – Black Phantom,Unisex,,,300.0,98,,"Kakao, Kahve, Nane","Karamel, Tonka Fasulyesi, Vanilya","Siyah Badem, Sedir, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Çok Yoğun,"baş döndürücü, zengin, gizemli","Black Phantom, tatlı ve odunsu notaların karışımıyla unisex için yoğun ve baş döndürücü bir parfümdür."
B-153,By Kilian – Forbiden Games,Kadın,,,70.0,118,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, Şakayık","Misk, Amber, Sandal Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Romantik","Şık,Casual","Çiçeksi,Aromatik",Orta,"ferah, zarif, romantik","Forbidden Games, çiçeksi ve taze notalarıyla kadınlar için zarif ve romantik bir gündüz parfümüdür."
B-154,By Kilian - Good Girl Gone Bad,Kadın,,,90.0,160,,"Yasemin, Frezya, Şakayık","Gül, İris, Menekşe","Sandal Ağacı, Misk, Amber","İlkbahar,Sonbahar","Gündüz,Gece","Özel Davet,Romantik,Ofis","Şık,Formal",Çiçeksi,Orta,"zarif, feminen, sofistike","Good Girl Gone Bad, çiçeksi ve feminen notalarıyla kadınlar için sofistike ve zarif bir parfümdür."
B-155,By Kilian - Love Don't Be Shy,Kadın,,,0.0,90,,"Nektarin, Portakal Çiçeği, Bergamot","Zambak, Yasemin, Şakayık","Vanilya, Misk, Amber","İlkbahar,Yaz","Gündüz,Gece","Romantik,Özel Davet,Günlük","Şık,Casual","Gourmand,Çiçeksi",Orta,"tatlı, neşeli, romantik","Love Don't Be Shy, tatlı ve çiçeksi notalarıyla kadınlar için neşeli ve romantik bir parfümdür."
B-156,By Kilian – Playing With The Devil,Kadın,,,70.0,130,,"Bergamot, Mandalina, Karanfil","Gül, Yasemin, Tarçın","Vanilya, Amber, Paçuli","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"tutkulu, gizemli, baştan çıkarıcı","Playing With The Devil, oryantal ve çiçeksi notalarıyla kadınlar için tutkulu ve gizemli bir gece parfümüdür."
B-157,By Kilian - Straight To Heaven (White Crystal),Erkek,,,150.0,160,,"Rom, Ananas, Hindistan Cevizi","Paçuli, Sedir, Amber","Vanilya, Tonka Fasulyesi, Misk","Yaz,Sonbahar",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Odunsu,Gourmand",Orta,"egzotik, sıcak, çekici","Straight To Heaven (White Crystal), odunsu ve gourmand notalarla erkekler için egzotik ve çekici bir gece parfümüdür."
B-158,By Kilian - Intoxıcated,Unisex,,,200.0,,,"Kahve, Karanfil, Kişniş","Zencefil, Tarçın, Kakule","Vanilya, Tonka Fasulyesi, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Aromatik",Yoğun,"canlandırıcı, sıcak, sofistike","Intoxicated, baharatlı ve tatlı notalarıyla unisex için canlandırıcı ve sofistike bir koku."
B-159,By Kilian - Blue Moon Ginger Dash,Unisex,,,200.0,,,"Zencefil, Limon, Nane","Yasemin, Frezya, Gül","Misk, Sedir, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Narenciye,Aromatik",Hafif,"ferah, enerjik, taze","Blue Moon Ginger Dash, taze zencefil ve narenciye notalarıyla unisex için ferah ve enerjik bir gündüz parfümüdür."
B-160,By Kilian - Women İn Gold,Kadın,,,200.0,,,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, Şakayık","Misk, Amber, Sandal Ağacı","İlkbahar,Yaz","Gündüz,Gece","Özel Davet,Romantik,Ofis","Şık,Formal","Çiçeksi,Aromatik",Orta,"zarif, feminen, sofistike","Women In Gold, çiçeksi ve aromatik notalarıyla kadınlar için zarif ve sofistike bir parfümdür."
B-161*,By Kilian - Bamboo Harmony,Unisex,,,200.0,,,"Bambu, Yeşil Yapraklar, Limon","Beyaz Çiçekler, Yasemin, Frezya","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava,Ofis","Casual,Sportif","Yeşil,Aromatik",Hafif,"ferah, doğal, huzurlu","Bamboo Harmony, yeşil ve taze notalarıyla unisex için ferah ve doğal bir gündüz parfümüdür."
B-170,Byredo - Marijuana,Unisex,,,400.0,,,"Kenevir, Yeşil Notlar, Ot","Reçine, Misk, Odunsu Notlar","Paçuli, Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Açık Hava","Bohem,Casual","Yeşil,Odunsu",Orta,"özgür, doğal, asi","Marijuana, kenevir ve yeşil notalarıyla unisex için özgür ruhlu ve doğal bir koku."
B-171,Byredo - Gypsy water,Unisex,,,200.0,,,"Bergamot, Limone, Ardıç, Biber","Paçuli, Sandal Ağacı, Vanilya, Amber","Misk, Reçine, Odunsu Notlar","İlkbahar,Sonbahar",Her İkisi,"Günlük,Özel Davet,Açık Hava","Bohem,Casual","Odunsu,Aromatik",Orta,"özgürlük,doğa,rahatlık,sıcaklık","Gypsy Water, doğal ve özgür ruhu yansıtan odunsu ve aromatik bir unisex parfümdür. Ferah ve sıcak notalarıyla her mevsime uygundur."
B-172,Byredo - Bal D'Afrique,Unisex,,,200.0,,,"Bergamot, Afrika Portakalı, Neroli","Yasemin, Siyah Frenk Üzümü, Afrika Menekşesi","Vetiver, Paçuli, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Narenciye,Çiçeksi,Odunsu",Orta,"canlılık,enerji,mutluluk,pozitiflik","Bal D'Afrique, sıcak ve enerjik narenciye ve çiçeksi notaların harmanlandığı unisex bir parfümdür. Yaz ve ilkbahar için idealdir."
B-173*,Byredo - Blanche,Kadın,,,400.0,,,"Turunçgiller, Aldehitler","Gül, Yasemin, Şakayık","Sedir, Misk, Sedir Ağacı","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Pudralı",Hafif,"saflık,zarafet,temizlik,ferahlık","Blanche, saf ve temiz çiçeksi notalarla ferahlatıcı bir kadın parfümüdür. Günlük kullanım için idealdir."
C-110,Calvin Klein – Eternity,Erkek,,,0.0,56,,"Lavanta, Mandalina, Bergamot","Sarmaşık, Karanfil, Biberiye","Sedir, Sandal Ağacı, Misk","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Formal,Şık","Aromatik,Odunsu",Orta,"klasik,özgüven,temizlik,zarafet","Eternity, klasik ve zamansız aromatik bir erkek parfümüdür. Günlük ve özel günlerde rahatlıkla kullanılabilir."
C-111,Calvin Klein – CK one Shock For Him,Erkek,,,200.0,102,,"Karpuz, Mandalina, Nane","Karanfil, Tarçın, Yasemin","Vanilya, Tonka Fasulyesi, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Gourmand,Aromatik",Yoğun,"çekici,enerjik,tutkulu,canlı","CK One Shock For Him, tatlı ve baharatlı gourmand notalarıyla gece hayatına uygun yoğun bir erkek parfümüdür."
C-112,Calvin Klein - Ck one,Erkek,,,0.0,70,,"Bergamot, Ananas, Yeşil Notlar","Yasemin, Frezya, Hindistan Cevizi","Misk, Amber, Sedir","Yaz,İlkbahar",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"ferah,genç,canlı,rahat","CK One, taze ve ferah narenciye aromalarıyla unisex olarak tercih edilen hafif bir parfümdür. Günlük kullanım için uygundur."
C-113,Calvin Klein - Obsession Femme,Kadın,,,100.0,,,"Mandarin, Bergamot, Karanfil","Yasemin, Amber, Misk","Vanilya, Sandal Ağacı, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"çekici,derin,tutkulu,klasik","Obsession Femme, sıcak ve yoğun oryantal çiçeksi notalarıyla geceye uygun klasik bir kadın parfümüdür."
C-120,Cartier - La Panthere,Kadın,,,200.0,155,,"Meyankökü, Greyfurt, Yasemin","Gardenya, Manolya, Gardenya","Meşe Likeni, Paçuli, Misk","İlkbahar,Sonbahar",Her İkisi,"Ofis,Özel Davet,Romantik","Şık,Formal","Çiçeksi,Odunsu",Orta,"zarif,çekici,sofistike,klasik","La Panthere, zarif çiçeksi ve odunsu notaların birleşimiyle sofistike bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
C-121,Cartier - Declaration,Erkek,,,300.0,80,,"Bergamot, Ardıç, Kişniş","Karanfil, Tarçın, Yasemin","Paçuli, Misk, Sedir","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Formal,Şık","Aromatik,Odunsu",Orta,"güçlü,maskülen,karizmatik,derin","Declaration, odunsu ve baharatlı aromatik notalarla güçlü ve karizmatik bir erkek parfümüdür. Özellikle akşam kullanımı için uygundur."
C-130,Carolina Herrera - 212 Men,Erkek,,,90.0,135,,"Greyfurt, Zencefil, Mandalina","Tarçın, Sardunya, Yasemin","Misk, Sandal Ağacı, Amber","İlkbahar,Sonbahar",Her İkisi,"Günlük,Ofis,Gece Hayatı","Casual,Şık","Narenciye,Aromatik",Orta,"dinamik,modern,enerjik,canlı","212 Men, taze narenciye ve baharat notalarıyla dinamik ve modern bir erkek parfümüdür. Günlük ve gece kullanımı için uygundur."
C-131,Carolina Herrera - Good Girl,Kadın,,,200.0,105,,"Badem Çiçeği, Yasemin, Portakal Çiçeği","Kahve, Tonka Fasulyesi, Sedir","Vanilya, Kakao, Paçuli","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Yoğun,"çekici,baştan çıkarıcı,enerjik,tutkulu","Good Girl, tatlı ve baharatlı gourmand notalarıyla baştan çıkarıcı ve enerjik bir kadın parfümüdür. Gece kullanımı için idealdir."
C-132,Carolina Herrera -Good Girl,Unisex,,,,,,"Badem Çiçeği, Yasemin, Portakal Çiçeği","Kahve, Tonka Fasulyesi, Sedir","Vanilya, Kakao, Paçuli","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Gourmand,Oryantal",Yoğun,"çekici,baştan çıkarıcı,enerjik,tutkulu","Good Girl unisex versiyonu, tatlı ve baharatlı gourmand notalarıyla baştan çıkarıcı ve enerjik bir koku sunar. Gece kullanımı için uygundur."
C-133,Carolina Herrera - Bad Boy,Erkek,,,100.0,,,"Biber, Bergamot, Siyah Biber","Sedir, Paçuli, Tonka Fasulyesi","Tütün, Amber, Vanilya","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Oryantal,Odunsu,Deri",Yoğun,"güçlü,maskülen,asi,karizmatik","Bad Boy, baharatlı ve odunsu notalarla asi ve güçlü bir erkek parfümüdür. Gece ve özel davetler için idealdir."
C-134,Carolina Herrera - Very Good Girl,Kadın,,,100.0,,,"Ahududu, Mandalina, Pembe Biber","Gül, Yasemin, İris","Paçuli, Vanilya, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Romantik","Şık,Casual","Çiçeksi,Gourmand",Orta,"neşeli,canlı,romantik,ferah","Very Good Girl, tatlı ve çiçeksi notaların enerjik birleşimiyle neşeli ve romantik bir kadın parfümüdür. Gündüz kullanımı için uygundur."
C-150,Chanel - Chance,Kadın,,,600.0,155,,"Portakal Çiçeği, Yasemin, İncir Yaprağı","İris, Yasemin, Sedir","Paçuli, Vetiver, Beyaz Misk","İlkbahar,Yaz",Her İkisi,"Ofis,Özel Davet,Günlük","Şık,Formal","Çiçeksi,Odunsu",Orta,"zarif,şık,ferah,klasik","Chance, taze ve çiçeksi notaların zarif birleşimiyle şık ve klasik bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
C-151,Chanel - Coco mademoiselle intense,Kadın,,,200.0,125,,"Portakal, Mandalina, Bergamot","Jasmin, Ylang-Ylang, Gül","Paçuli, Vanilya, Beyaz misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Çiçeksi",Çok Yoğun,"çekici, gizemli, sofistike, güçlü","Coco Mademoiselle Intense, zengin ve yoğun bir oryantal çiçeksi koku sunar. Güçlü ve sofistike kadınlar için ideal bir seçimdir."
C-152,Chanel - No:5,Kadın,,,700.0,198,,"Yasemin, Neroli, İris","Gül, Yasemin, Ylang-Ylang","Sandal ağacı, Vanilya, Amber","İlkbahar,Sonbahar",Her İkisi,"Ofis,Özel Davet,Günlük","Klasik,Formal","Çiçeksi,Oryantal",Orta,"zarif, klasik, feminen, zamansız","Chanel No:5, klasik ve zamansız bir çiçeksi oryantal kokudur. Feminen ve zarif kadınların tercihi olarak bilinir."
C-153,Chanel - Allure,Kadın,,,400.0,90,,"Portakal, Mandalina, İncir yaprağı","Jasmin, Yasemin, Şakayık","Vanilya, Paçuli, Sedir","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Şık","Çiçeksi,Taze",Orta,"canlı, taze, neşeli, zarif","Chanel Allure, taze ve çiçeksi notalarla enerjik ve zarif bir koku sunar. Günlük kullanım için idealdir."
C-154,Chanel - Egoiste,Erkek,,,200.0,98,,"Biber, Tarçın, Karanfil","Gül, Yasemin, Paçuli","Sandal ağacı, Vanilya, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Oryantal,Odunsu",Yoğun,"güçlü, karizmatik, sofistike, maskülen","Egoiste, baharatlı ve odunsu notalarıyla güçlü ve karizmatik erkekler için tasarlanmıştır. Gece kullanımı için uygundur."
C-155,Chanel - Bleu De Chanel,Erkek,,,400.0,210,,"Greyfurt, Limon, Nane","Zencefil, Yasemin, Iso E Super","Sedir, Sandal ağacı, Tütsü","İlkbahar,Yaz,Sonbahar",Her İkisi,"Ofis,Günlük,Gece Hayatı","Casual,Formal,Şık","Aromatik,Odunsu",Orta,"ferah, modern, özgür, dinamik","Bleu De Chanel, ferah ve odunsu aromatik notalarıyla modern ve dinamik erkekler için uygundur. Hem gündüz hem gece kullanıma uygundur."
C- 156,Chanel - Coco Noir,Kadın,,,400.0,150,,"Bergamot, Portakal, Greyfurt","Jasmin, Gül, Ylang-Ylang","Paçuli, Vanilya, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"gizemli, çekici, sofistike, tutkulu","Coco Noir, koyu ve oryantal çiçeksi yapısıyla gizemli ve çekici kadınlar için tasarlanmıştır. Özel geceler için idealdir."
C-157,Chanel- Antaeus,Erkek,,,100.0,155,,"Bergamot, Lavanta, Sardunya","Paçuli, Yasemin, Misk","Sedir, Vetiver, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Formal,Şık","Odunsu,Aromatik",Yoğun,"güçlü, erkeksi, sofistike, karizmatik","Antaeus, odunsu ve aromatik notalarıyla güçlü ve karizmatik erkekler için tasarlanmıştır. Gece kullanımı için uygundur."
C-160,Chopard- Oud Malaki,Erkek,,,400.0,140,,"Oud, Safran, Biber","Gül, Amber, Tarçın","Misk, Sandal Ağacı, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu",Çok Yoğun,"lüks, egzotik, gizemli, etkileyici","Oud Malaki, zengin oud ve baharat notalarıyla lüks ve egzotik bir deneyim sunar. Özel gece kullanımları için uygundur."
C-161,Chloe - Signature EAU DE PARFUM,Kadın,,,200.0,82,,"Frezy, Limon, Portakal Çiçeği","Gül, Yasemin, Mimoza","Sedir, Misk, Sedir Ağacı","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Bohem","Çiçeksi,Taze",Hafif,"ferah, zarif, doğal, neşeli","Chloe Signature EAU DE PARFUM, taze ve çiçeksi notalarıyla zarif ve doğal bir koku sunar. Günlük kullanım için idealdir."
C-162,Chloe - Love Story,Kadın,,,200.0,,,"Portakal Çiçeği, Bergamot, Limon","Gül, Yasemin, İncir Yaprağı","Sedir, Paçuli, Amber","İlkbahar,Yaz",Gündüz,"Romantik,Özel Davet,Günlük","Şık,Bohem","Çiçeksi,Oryantal",Orta,"romantik, feminen, taze, zarif","Chloe Love Story, romantik ve feminen çiçeksi notalarla taze bir koku sunar. Özel anlar ve gündüz kullanımı için uygundur."
C-163,Chloe - Nomade,Kadın,,,200.0,,,"Siyah Frenk Üzümü, Bergamot, Mandalina","Sedir, Frezya, Şakayık","Misk, Meşe yosunu, Amber","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Açık Hava","Casual,Bohem","Odunsu,Çiçeksi",Orta,"özgür, doğal, canlı, modern","Chloe Nomade, odunsu ve çiçeksi notaların birleşimiyle özgür ve modern bir koku sunar. Günlük ve ofis kullanımı için uygundur."
C-170,Christian dior - dior addict,Kadın,,,200.0,130,,"Portakal Çiçeği, Mandalina, Yasemin","Vanilya, Sedir, Tonka Fasulyesi","Misk, Amber, Sandal Ağacı","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Gourmand",Yoğun,"çekici, tutkulu, sıcak, gizemli","Dior Addict, sıcak ve oryantal gourmand notalarıyla tutkulu ve çekici kadınlar için tasarlanmıştır. Gece kullanımı için idealdir."
C-171,Christian Dior - Fahrenheit,Erkek,,,200.0,65,,"Lavanta, Kişniş, Mandalina","Sedir, Sardunya, Yasemin","Derimsi notalar, Vanilya, Paçuli","Sonbahar,Kış",Her İkisi,"Ofis,Gece Hayatı,Özel Davet","Formal,Şık","Aromatik,Deri",Orta,"güçlü, erkeksi, karizmatik, özgün","Fahrenheit, aromatik ve deri notalarıyla güçlü ve karizmatik erkekler için ikonik bir koku sunar. Hem gündüz hem gece kullanıma uygundur."
C-172,Christian Dior - Hypnotic Poison,Kadın,,,400.0,145,,"Badem Çiçeği, Acı Badem, Yasemin","Vanilya, Sedir, Tarçın","Tonka Fasulyesi, Misk, Amber","Sonbahar,Kış",Gece,"Romantik,Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Gourmand",Yoğun,"gizemli, çekici, sıcak, tutkulu","Hypnotic Poison, oryantal gourmand notalarıyla gizemli ve çekici kadınlar için tasarlanmıştır. Özellikle gece kullanımı için uygundur."
C-173,Christian dior - jadore,Kadın,,,200.0,85,,"Yasemin, İris, Şeftali","Gül, Frezya, Orkide","Sedir, Vanilya, Misk","İlkbahar,Yaz",Gündüz,"Özel Davet,Ofis,Günlük","Şık,Klasik",Çiçeksi,Orta,"zarif, feminen, sofistike, parlak","Jadore, zarif ve çiçeksi notalarıyla feminen ve sofistike kadınlar için tasarlanmıştır. Hem gündüz hem özel davetlerde tercih edilir."
C-174,Christian Dior - Sauvage,Erkek,,,300.0,245,,"Bergamot, Biber, Lavanta","Geranium, Elemi, Paçuli","Ambroxan, Labdanum, Vetiver","İlkbahar, Yaz, Sonbahar","Gündüz, Gece","Ofis, Günlük, Özel Davet","Casual, Formal","Aromatik, Narenciye",Orta,"ferah, enerjik, modern, özgüvenli","Sauvage, taze ve baharatlı notalarıyla güçlü ve modern bir erkek kokusudur. Günlük ve özel anlarda rahatlıkla kullanılabilir."
C-175,Christian Dior - Dior Homme intense,Erkek,,,400.0,145,,"Lavanta, Ardıç, Bergamot","İris, Amber, Kakule","Vetiver, Paçuli, Vanilya","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Odunsu, Aromatik",Yoğun,"şık, sofistike, çekici, gizemli","Dior Homme Intense, yoğun iris ve odunsu notalarıyla sofistike ve çekici bir gece kokusudur. Özel davetler için idealdir."
C-176,Christian Dior - Ambre Nuit,Erkek,,,400.0,158,,"Bergamot, Limon","Gül, Tarçın","Amber, Misk, Paçuli","Sonbahar, Kış",Gece,"Özel Davet, Romantik","Şık, Formal","Oryantal, Çiçeksi",Orta,"romantik, sıcak, sofistike, etkileyici","Ambre Nuit, amber ve gül notalarıyla sıcak ve büyüleyici bir erkek parfümüdür. Romantik ve özel anlar için uygundur."
C-177,Christian Dior - Dior Homme,Erkek,,,200.0,180,,"Lavanta, Karpuz, Sardunya","İris, Amber, Kakule","Vetiver, Paçuli, Sedir","İlkbahar, Sonbahar",Gündüz,"Ofis, Günlük","Casual, Formal","Aromatik, Odunsu",Orta,"ferah, zarif, modern, dengeli","Dior Homme, iris ve odunsu notalarıyla zarif ve dengeli bir erkek kokusudur. Günlük kullanıma uygundur."
C-178,Christian Dior - Dior Homme Sport,Erkek,,,100.0,175,,"Narenciye, Nane, Biberiye","Sedir, Paçuli","Amber, Misk","Yaz, İlkbahar",Gündüz,"Ofis, Günlük, Açık Hava","Sportif, Casual","Aromatik, Narenciye",Hafif,"canlı, enerjik, ferah, dinamik","Dior Homme Sport, taze narenciye ve aromatik notalarıyla enerjik ve ferah bir erkek parfümüdür. Günlük ve sportif kullanıma uygundur."
C-179,Christian Dior - Dune,Kadın,,,100.0,115,,"Narenciye, Mandalina, Bergamot","Yasemin, Gardenya, Gül","Sedir, Misk, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Açık Hava, Ofis","Casual, Şık","Çiçeksi, Narenciye",Orta,"ferah, neşeli, zarif, kadınsı","Dune, narenciye ve çiçeksi notalarıyla ferah ve zarif bir kadın kokusudur. Günlük kullanım için idealdir."
C-180,Christian Dior - Miss Dior,Kadın,,,200.0,94,,"Narenciye, Mandalina, Bergamot","Gül, Yasemin, İris","Paçuli, Misk, Amber","İlkbahar, Sonbahar","Gündüz, Gece","Romantik, Özel Davet, Ofis","Şık, Klasik","Çiçeksi, Pudralı",Orta,"romantik, zarif, feminen, sofistike","Miss Dior, çiçeksi ve pudralı notalarıyla zarif ve romantik bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
C-181,Christian Dior - Sauvage Elixir,Erkek,,,100.0,,,"Tarçın, Kakule, Lavanta","Sandal Ağacı, Amber, Misk","Vanilya, Paçuli, Tonka Fasulyesi","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Oryantal, Odunsu",Çok Yoğun,"güçlü, etkileyici, sofistike, baştan çıkarıcı","Sauvage Elixir, yoğun baharat ve odunsu notalarıyla güçlü ve baştan çıkarıcı bir erkek kokusudur. Gece kullanımı için uygundur."
C-182,Christian Dior - Midnight Poison,Kadın,,,100.0,,,"Narenciye, Bergamot","Gül, Yasemin, Misk","Vanilya, Amber, Paçuli","Sonbahar, Kış",Gece,"Romantik, Özel Davet","Şık, Klasik","Oryantal, Çiçeksi",Orta,"gizemli, romantik, çekici, sofistike","Midnight Poison, oryantal ve çiçeksi notalarıyla gizemli ve çekici bir kadın kokusudur. Gece kullanımı için idealdir."
C-183*,Christian Dior - Miss Dior Cherie,Kadın,,,200.0,,,"Bergamot, Mandalina","Gül, Yasemin, Çilek","Vanilya, Paçuli, Misk","İlkbahar, Yaz",Gündüz,"Günlük, Romantik, Ofis","Casual, Şık","Çiçeksi, Gourmand",Orta,"neşeli, genç, tatlı, enerjik","Miss Dior Cherie, tatlı ve çiçeksi notalarıyla genç ve enerjik bir kadın parfümüdür. Günlük ve romantik anlar için uygundur."
C-190,Clive Christian - Amberwood,Erkek,,,50.0,145,,"Bergamot, Biber, Karanfil","Amber, Tarçın, Kakule","Sedir, Vetiver, Misk","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Oryantal, Odunsu",Yoğun,"güçlü, sofistike, sıcak, etkileyici","Amberwood, baharatlı ve odunsu notalarıyla güçlü ve sofistike bir erkek kokusudur. Gece ve özel davetler için uygundur."
C-191,Clive Christian - Woody Leather With Oudh Intense,Erkek,,,70.0,125,,"Bergamot, Biber, Karanfil","Oudh, Deri, Sedir","Amber, Misk, Paçuli","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Deri, Odunsu",Çok Yoğun,"gizemli, güçlü, lüks, sofistike","Woody Leather With Oudh Intense, deri ve oud notalarıyla lüks ve gizemli bir erkek parfümüdür. Özel geceler için idealdir."
C-192,Clive Christian - X For Men,Erkek,,,600.0,185,,"Narenciye, Biber, Lavanta","Sedir, Vetiver, Paçuli","Amber, Misk, Tonka Fasulyesi","İlkbahar, Sonbahar","Gündüz, Gece","Ofis, Günlük, Özel Davet","Formal, Şık","Aromatik, Odunsu",Orta,"zarif, modern, dengeli, sofistike","X For Men, aromatik ve odunsu notalarıyla zarif ve dengeli bir erkek kokusudur. Hem gündüz hem gece kullanıma uygundur."
C-193,Clive Christian - No1,Erkek,,,200.0,105,,"Bergamot, Lavanta, Biber","Jasmin, Gül, Sedir","Amber, Misk, Vanilya","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Oryantal, Çiçeksi",Yoğun,"lüks, sofistike, etkileyici, güçlü","No1, zengin ve sofistike notalarıyla lüks ve etkileyici bir erkek parfümüdür. Özel geceler için uygundur."
C-194,Clive Christian-1872,Erkek,,,200.0,125,,"Narenciye, Biber, Karanfil","Sedir, Vetiver, Paçuli","Amber, Misk, Tonka Fasulyesi","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Şık, Formal","Odunsu, Oryantal",Yoğun,"güçlü, sofistike, etkileyici, lüks","1872, odunsu ve oryantal notalarıyla güçlü ve sofistike bir erkek parfümüdür. Özel anlar ve gece kullanımı için uygundur."
C-195,Clive Christian - Rock Rose Noble VII,Erkek,,,200.0,,,"Bergamot, Lavanta, Biberiye","Gül, Yasemin, Sardunya","Misk, Amber, Sandal ağacı","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"gizemli,çekici,lüks","Rock Rose Noble VII, yoğun ve sofistike bir erkek parfümüdür. Odunsu ve oryantal notalarıyla dikkat çeker."
C-196-,Clive Christian - Blonde Amber,Unisex,,,200.0,,,"Bergamot, Portakal Çiçeği, Mandalina","Amber, Vanilya, Yasemin","Misk, Sandal ağacı, Paçuli","İlkbahar,Sonbahar",Her İkisi,"Günlük,Özel Davet","Şık,Formal","Oryantal,Gourmand",Orta,"zarif,çekici,modern","Blonde Amber, unisex kullanıma uygun, amber ve vanilya notalarıyla sıcak ve davetkar bir koku sunar."
